season,playerName,gamesPlayed,minutesPlayed,fieldGoalPercentage,reboundsPerGame,assistsPerGame,pointsPerGame
1953,Bob Cousy,71,41.5,0.352,6.3,7.7,19.8
1965,Gerry Ward,3,10,0.111,1.7,2,1.7
1972,Bob Kauffman,77,41.6,0.497,10.2,3.9,18.9
1972,Jim McMillian,80,38.1,0.482,6.5,2.6,18.8
1978,Brad Davis,33,10.1,0.417,1.1,2.5,2.5
1978,Johnny Davis,82,26.7,0.454,2.1,2.6,10.7
1978,Walter Davis,81,32,0.526,6,3.4,24.2
1997,Ray Allen,82,30.9,0.43,4,2.6,13.4
2020,Kevin Porter Jr.,50,23.2,0.442,3.2,2.2,10
2020,Michael Porter Jr.,55,16.4,0.509,4.7,0.8,9.3
2020,Cam Reddish,58,26.7,0.384,3.7,1.5,10.5
2020,J.J. Redick,60,26.4,0.453,2.5,2,15.3
2020,Duncan Robinson,73,29.7,0.47,3.2,1.4,13.5